time,temperature,altitude
1479762359,33.27704656,337.3597870671365
1479762360,33.28777652,337.2532473984029
1479762361,33.2884077,337.15737657423597
1479762362,33.29030122,337.30882846155873
1479762363,33.29345709,337.3274175067272
1479762364,33.30166236,337.04754154518014
1479762366,33.30355588,337.34619331955037
1479762367,33.3079741,337.20247690943506
1479762368,33.31428584,337.3599367989664
1479762369,33.31554819,337.2245499943092
1479762370,33.31996641,337.404676593389
1479762371,33.32438463,337.20207763064536
1479762372,33.32627816,337.3829817575024
1479762373,33.33637695,337.25456485288305
1479762375,33.33700813,337.1881286980715
1479762376,33.34395105,337.0999995872262
1479762377,33.34205752,337.3607095529078
1479762378,33.34710692,337.1505535855322
1479762379,33.35278749,337.34250854531274
1479762380,33.35468102,337.05487130187976
1479762381,33.35973041,337.2249389477656
1479762384,33.36919804,337.16548172961484
1479762385,33.36919804,337.28325201392
1479762386,33.37614096,337.37178369114554
1479762388,33.37614096,337.37178369114554
1479762389,33.38371506,337.5705427793073
1479762390,33.38623976,337.2433738095715
1479762391,33.38687093,337.0591617676546
1479762392,33.39507621,337.3681393526349
1479762393,33.39760091,337.30596377925394
1479762394,33.40454383,337.30617288640497
1479762395,33.40706853,337.0084455814067
1479762396,33.40643736,337.3693286029811
1479762398,33.41274911,337.14405587402143
1479762399,33.42158556,337.1190890729049
1479762400,33.42663496,337.2622604769931
1479762401,33.42474144,337.5793771405806
1479762402,33.43042202,337.4794346733106
1479762403,33.43168437,337.08153658407537
1479762404,33.43799612,337.059859635403
1479762405,33.43988965,337.2113557034245
1479762407,33.4512508,337.2739712951443
1479762408,33.45566903,337.2774761961191
1479762409,33.46134961,337.29532255416416
1479762410,33.45882491,337.1194074607629
1479762411,33.46766137,337.1853113773832
1479762412,33.46513666,337.1566287902897
1479762413,33.47776017,337.46918051147077
1479762414,33.48028488,337.05363131802005
1479762416,33.48091605,337.4288988612461
1479762417,33.48849016,336.95041028159903
1479762418,33.49669545,337.20056398553425
1479762419,33.49606427,337.1197723160585
1479762420,33.5004825,337.03493778336997
1479762421,33.50679426,336.954376297821
1479762422,33.50931896,336.8922006278881
