time,altitude,sound_time
1479753603,9.620706884,1130
1479753605,9.751565802,1130
1479753606,9.346395432,1120
1479753607,9.620815279,1120
1479753608,9.641402062,1120
1479753610,9.461900694,1130
1479753611,9.461900694,1130
1479753612,9.42347106,1130
1479753613,9.367065052,1130
1479753615,9.400425021,1130
1479753616,9.641552148,1130
1479753617,9.574889141,1130
1479753618,9.595409128,1130
1479753619,9.508193208,1130
1479753621,9.508193208,1130
1479753622,9.656986008,1130
1479753623,9.251744272,1130
1479753624,9.405677912,1130
1479753626,9.72374126,1130
1479753627,9.68783712,1130
1479753628,9.662222352,1130
1479753629,9.662222352,1130
1479753631,9.444182522,1130
1479753632,9.441639446,1130
1479753633,9.577573996,1130
1479753634,9.944421854,1130
1479753636,9.613511109,1130
1479753637,9.641818967,1130
1479753638,9.593074466,1120
1479753639,9.441864571,1130
1479753640,9.567651707,1130
1479753642,9.390728023,1130
1479753643,9.506183748,1130
1479753644,9.437095262,1130
1479753645,9.511536749,1130
1479753647,9.53214833,1130
1479753648,9.53214833,1130
1479753649,9.506642338,1130
1479753650,9.719663891,1130
1479753652,9.360678227,1130
1479753653,9.660754842,1130
1479753654,9.401842468,1130
1479753655,9.653383938,1130
1479753657,9.620164908,1130
1479753658,9.620164908,1130
1479753659,9.366314642,1130
1479753660,9.420361009,1130
1479753661,9.597510323,1130
1479753663,9.274306389,1130
1479753664,9.623416766,1130
1479753665,9.261908058,1130
1479753666,9.261908058,1120
1479753668,9.57252947,1120
1479753669,9.429090833,1120
1479753670,9.370341845,1120
1479753671,9.355033477,1120
1479753673,9.232008713,1120
1479753674,9.542595882,1130
1479753675,9.419577243,1130
1479753676,9.35817686,1130
1479753678,9.022165415,1130
1479753679,9.445775072,1130
1479753680,9.207303881,1130
1479753681,9.756943943,1130
1479753682,9.513312745,1130
1479753684,9.500714018,1130
1479753685,9.482854034,1130
1479753686,9.750098279,2000
1479753687,9.650157085,1130
1479753689,9.311601526,1130
1479753690,9.532598583,1130
1479753691,9.918164404,1130
1479753692,10.06955631,1130
1479753694,9.887771218,1130
1479753695,9.887771218,1130
1479753696,10.16033748,1130
1479753697,9.695950144,2000
1479753698,9.63995123,1130
1479753700,9.894125012,1120
1479753701,9.89423341,1130
1479753702,9.766516208,1130
1479753703,9.766516208,1130
1479753705,9.771577505,1130
1479753706,9.658611943,1130
1479753707,9.777514318,1130
1479753708,9.826860036,1130
1479753710,9.932397952,1130
1479753711,9.634881659,1660
1479753712,9.460474901,1650
1479753713,9.784301634,1650
1479753715,9.777197466,1650
1479753716,9.667225232,1130
1479753717,9.480335963,1650
1479753718,9.686161152,1130
1479753719,9.437453794,1130
1479753721,9.861480557,1130
1479753722,9.430533297,1130
1479753723,9.502681786,1130
1479753724,9.502681786,1130
1479753726,9.649931955,1130
1479753727,9.896968378,1130
1479753728,9.81040032,1130
1479753729,9.626043267,1130
1479753731,9.626043267,1130
1479753732,9.796041865,1130
1479753733,9.457998525,1130
1479753734,9.384199439,1130
1479753736,9.543988334,1130
1479753737,9.567534974,1360
1479753738,9.416500545,1130
1479753739,9.596893306,1130
1479753740,9.530639147,1130
1479753742,9.67511311,1360
1479753743,10.05859959,1130
1479753744,9.712759883,1130
1479753745,9.720997999,1130
1479753747,9.623491809,1130
1479753748,9.516114317,1360
1479753749,9.457956835,1130
1479753750,9.731128889,1130
1479753752,9.677831344,1130
1479753753,9.790705395,1130
1479753754,9.853542508,1130
1479753755,9.921224574,1130
1479753757,9.544288503,1130
1479753758,9.880250064,1130
1479753759,9.880250064,1130
1479753760,9.975298832,1130
1479753761,9.716061799,1130
1479753763,9.837224501,1130
1479753764,9.673136971,1130
1479753765,9.799127013,1130
1479753766,9.82698511,1130
1479753768,9.917013714,1130
1479753769,9.677956416,1120
1479753770,9.685635849,1130
1479753771,9.842552657,1120
1479753773,9.801786912,1130
1479753774,9.801786912,1120
1479753775,9.717179114,1130
1479753776,9.846038056,1120
1479753777,9.794724424,1130
1479753779,9.822790965,1130
1479753780,9.709916567,1130
1479753781,9.799327131,1130
1479753782,9.799327131,1130
1479753784,9.830470504,1130
1479753785,9.813377075,1130
1479753786,9.926252592,1130
1479753787,9.690897222,1130
1479753789,9.791280733,1130
1479753790,9.791280733,1130
1479753791,9.72726831,1130
1479753792,9.613969704,1130
1479753794,9.714152358,1360
1479753795,10.31430955,1220
1479753796,9.860680081,1210
1479753797,9.860680081,1360
1479753798,9.534299541,1130
1479753800,9.763381041,1130
1479753801,9.697701157,1360
1479753802,9.570478307,1360
1479753803,9.58419442,1220
1479753805,9.71045021,1130
1479753806,9.423362667,1130
1479753807,9.628994956,1130
1479753808,9.696608859,1130
1479753810,9.514721869,1130
1479753811,9.803596311,1130
1479753812,9.676205406,1130
1479753813,9.697292588,1220
1479753815,9.901871311,1220
1479753816,9.901871311,1120
1479753817,9.74597087,1130
1479753818,9.964817493,1210
1479753819,9.473473803,1130
1479753821,9.718579928,1220
1479753822,9.693240243,1130
1479753823,9.665741044,1220
1479753824,9.665741044,1130
1479753826,9.784801927,1130
1479753827,9.672178085,1130
1479753828,9.630812663,1130
1479753829,9.854843281,1130
1479753831,9.644970775,1130
1479753832,9.720714501,1130
1479753833,9.558037934,1210
1479753834,9.558037934,1130
1479753836,9.561298111,1220
1479753837,9.446417095,1360
1479753838,9.905965427,1130
1479753839,9.747738568,1220
1479753840,9.718062961,1130
1479753842,9.803546281,1130
1479753843,9.809849995,1130
1479753844,9.677239336,1120
1479753845,9.677239336,1130
1479753847,9.677239336,1130
1479753848,9.880641964,1130
1479753849,9.91158546,1220
