time,gps_timestamp,lat,lat_direction,lng,lng_direction,fix_quality,num_satelites,hdop,altitude,height_geoid_ellipsoid
1479753312.584406,183512.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753313.583577,183513.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753314.582712,183514.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753315.58209,183515.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753316.58124,183516.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753317.584526,183517.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753318.58416,183518.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753319.583807,183519.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753320.583799,183520.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753321.582205,183521.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753322.582329,183522.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753323.581798,183523.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753324.58142,183524.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753325.583707,183525.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753326.583582,183526.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753327.583466,183527.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753328.582171,183528.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753329.581864,183529.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753330.581353,183530.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753331.588423,183531.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753332.587864,183532.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
