time,exterior_pressure,exterior_humidity,exterior_temperature,estimated_altitude,sound_time,blue_voltage,red_voltage,white_voltage
1479753430.571525,71014.7,60.24,21.99,2900.0,1130.0,342,0,0
1479753431.80886,71014.7,60.24,21.99,2900.0,1130.0,342,0,0
1479753433.041365,71014.7,60.24,21.99,2900.0,1120.0,342,0,0
1479753434.277439,71014.7,60.24,21.99,2900.0,1130.0,343,0,2
1479753435.511192,71014.7,60.24,21.99,2900.0,1130.0,343,0,2
1479753436.747308,71014.7,60.24,21.99,2900.0,1130.0,342,0,2
1479753437.980881,71014.7,60.24,21.99,2900.0,1850.0,343,0,1
1479753439.218098,71014.7,60.24,21.99,2900.0,1130.0,343,0,2
1479753440.450604,71014.7,60.24,21.99,2900.0,1130.0,343,0,2
1479753441.687925,71014.7,60.24,21.99,2900.0,1130.0,343,0,2
1479753442.920382,71014.7,60.24,21.99,2900.0,1130.0,343,0,2
1479753444.15276,71014.7,60.24,21.99,2900.0,1130.0,343,0,2
1479753445.390057,71014.7,60.24,21.99,2900.0,2000.0,342,0,2
1479753446.627419,71014.7,60.24,21.99,2900.0,1130.0,343,0,2
1479753447.859858,71014.7,60.24,21.99,2900.0,1130.0,342,0,0
1479753449.097209,71014.7,60.24,21.99,2900.0,1130.0,342,0,0
1479753450.329686,71014.7,60.24,21.99,2900.0,1120.0,342,0,0
1479753451.563215,71014.7,60.24,21.99,2900.0,1130.0,342,0,0
1479753452.799247,71014.7,60.24,21.99,2900.0,1130.0,342,0,0
1479753454.03282,71014.7,60.24,21.99,2900.0,1130.0,342,0,0
1479753455.26884,71014.7,60.24,21.99,2900.0,1130.0,342,0,0
1479753456.502636,71014.7,60.24,21.99,2900.0,1130.0,342,0,0
1479753457.738617,71014.7,60.24,21.99,2900.0,1120.0,342,0,0
1479753458.972391,71014.7,60.24,21.99,2900.0,1130.0,342,0,0
1479753460.20844,71014.7,60.24,21.99,2900.0,1130.0,342,0,0
1479753461.442216,71014.7,60.24,21.99,2900.0,1130.0,342,0,0
1479753462.674438,71014.7,60.24,21.99,2900.0,1130.0,342,0,0
1479753463.911751,71014.7,60.24,21.99,2900.0,1120.0,343,0,0
1479753465.144008,71014.7,60.24,21.99,2900.0,1130.0,342,0,0
1479753466.381336,71014.7,60.24,21.99,2900.0,1130.0,343,0,0
1479753467.613619,71014.7,60.24,21.99,2900.0,1130.0,342,0,0
1479753468.850901,71014.7,60.24,21.99,2900.0,1130.0,342,0,1
1479753470.083368,71014.7,60.24,21.99,2900.0,1130.0,342,0,1
1479753471.320588,71014.7,60.24,21.99,2900.0,1130.0,342,0,0
1479753472.553639,71014.7,60.24,21.99,2900.0,1130.0,342,0,0
1479753473.7902,71014.7,60.24,21.99,2900.0,1130.0,342,0,0
1479753475.022819,71014.7,60.24,21.99,2900.0,1130.0,343,0,1
1479753476.26008,71014.7,60.24,21.99,2900.0,1130.0,343,0,1
1479753477.492659,71014.7,60.24,21.99,2900.0,1130.0,342,0,0
1479753478.725999,71014.7,60.24,21.99,2900.0,1130.0,342,0,0
1479753479.963323,71014.7,60.24,21.99,2900.0,1130.0,342,0,0
1479753481.195579,71014.7,60.24,21.99,2900.0,1130.0,342,0,0
1479753482.432925,71014.7,60.24,21.99,2900.0,1120.0,342,0,0
1479753483.665402,71014.7,60.24,21.99,2900.0,1130.0,342,0,0
1479753484.90282,71014.7,60.24,21.99,2900.0,1130.0,342,0,0
1479753486.135195,71014.7,60.24,21.99,2900.0,1130.0,342,0,0
1479753487.37251,71014.7,60.24,21.99,2900.0,1130.0,342,0,0
1479753488.605148,71014.7,60.24,21.99,2900.0,1120.0,342,0,0
1479753489.841224,71014.7,60.24,21.99,2900.0,1130.0,342,0,0
1479753491.074931,71014.7,60.24,21.99,2900.0,1130.0,342,0,0
1479753492.307191,71014.7,60.24,21.99,2900.0,1130.0,342,0,0
1479753493.544515,71014.7,60.24,21.99,2900.0,1130.0,342,0,0
1479753494.778017,71014.7,60.24,21.99,2900.0,1130.0,342,0,0
1479753496.014078,71014.7,60.24,21.99,2900.0,1120.0,342,0,0
1479753497.246593,71014.7,60.24,21.99,2900.0,1130.0,342,0,0
1479753498.483876,71014.7,60.24,21.99,2900.0,1130.0,342,0,0
1479753499.71638,71014.7,60.24,21.99,2900.0,1130.0,342,0,0
1479753500.953708,71014.7,60.24,21.99,2900.0,1130.0,342,0,0
1479753502.1862,71014.7,60.24,21.99,2900.0,1130.0,342,0,0
1479753503.423532,71014.7,60.24,21.99,2900.0,1120.0,342,0,0
1479753504.656,71014.7,60.24,21.99,2900.0,1130.0,342,0,0
1479753505.889501,71014.7,60.24,21.99,2900.0,1130.0,342,0,0
1479753507.125566,71014.7,60.24,21.99,2900.0,1120.0,342,0,0
1479753508.359386,71014.7,60.24,21.99,2900.0,1130.0,342,0,1
1479753509.596284,71014.7,60.24,21.99,2900.0,1130.0,342,0,1
1479753510.828644,71014.7,60.24,21.99,2900.0,1130.0,342,0,1
1479753512.065849,71014.7,60.24,21.99,2900.0,1130.0,342,0,1
1479753513.298314,71014.7,60.24,21.99,2900.0,1130.0,342,0,0
1479753514.535636,71014.7,60.24,21.99,2900.0,1130.0,342,0,0
1479753515.768137,71014.7,60.24,21.99,2900.0,1120.0,342,0,0
1479753517.005472,71014.7,60.24,21.99,2900.0,1130.0,342,0,0
1479753518.23798,71014.7,60.24,21.99,2900.0,1130.0,342,0,0
1479753519.4753,71014.7,60.24,21.99,2900.0,1130.0,342,0,0
1479753520.707634,71014.7,60.24,21.99,2900.0,1130.0,342,0,0
1479753521.941133,71014.7,60.24,21.99,2900.0,1120.0,342,0,0
1479753523.177208,71014.7,60.24,21.99,2900.0,1130.0,342,0,0
1479753524.410721,71014.7,60.24,21.99,2900.0,1130.0,342,0,0
1479753525.646786,71014.7,60.24,21.99,2900.0,1130.0,342,0,0
1479753526.880496,71014.7,60.24,21.99,2900.0,1130.0,342,0,0
1479753528.116579,71014.7,60.24,21.99,2900.0,1130.0,342,0,0
1479753529.350332,71014.7,60.24,21.99,2900.0,1120.0,342,0,1
1479753530.5864,71014.7,60.24,21.99,2900.0,1130.0,342,0,0
1479753531.820152,71014.7,60.24,21.99,2900.0,1130.0,342,0,1
1479753533.05236,71014.7,60.24,21.99,2900.0,1130.0,342,0,1
1479753534.2897,71014.7,60.24,21.99,2900.0,1130.0,342,0,1
1479753535.521963,71014.7,60.24,21.99,2900.0,1130.0,342,0,1
1479753536.759273,71014.7,60.24,21.99,2900.0,1130.0,342,0,1
1479753537.991629,71014.7,60.24,21.99,2900.0,1130.0,342,0,0
1479753539.228933,71014.7,60.24,21.99,2900.0,1130.0,342,0,0
1479753540.461436,71014.7,60.24,21.99,2900.0,1130.0,342,0,0
1479753541.694885,71014.7,60.24,21.99,2900.0,1130.0,341,0,0
1479753542.932216,71014.7,60.24,21.99,2900.0,1130.0,342,0,0
1479753544.164485,71014.7,60.24,21.99,2900.0,1120.0,342,0,0
1479753545.4018,71014.7,60.24,21.99,2900.0,1120.0,341,0,1
1479753546.634307,71014.7,60.24,21.99,2900.0,1130.0,342,0,0
1479753547.871573,71014.7,60.24,21.99,2900.0,1130.0,341,0,0
1479753549.104086,71014.7,60.24,21.99,2900.0,1130.0,341,0,0
