interior_pressure,calibrated_pressure,pressure_normal,pressure_2.5,pressure_97.5
101292.1222,101453.9081,101453.9081,101349.6238,101550.2915
101292.1222,101453.9081,101453.9081,101349.6238,101550.2915
101293.0227,101454.81,101454.81,101350.5248,101551.1943
101293.0227,101454.81,101454.81,101350.5248,101551.1943
101293.0227,101454.81,101454.81,101350.5248,101551.1943
101291.3173,101453.1019,101453.1019,101348.8184,101549.4846
101291.3173,101453.1019,101453.1019,101348.8184,101549.4846
101291.3173,101453.1019,101453.1019,101348.8184,101549.4846
101288.4563,101450.2363,101450.2363,101345.9558,101546.6163
101288.4563,101450.2363,101450.2363,101345.9558,101546.6163
101290.6441,101452.4277,101452.4276,101348.1449,101548.8096
101290.6441,101452.4277,101452.4276,101348.1449,101548.8096
101290.6441,101452.4277,101452.4276,101348.1449,101548.8096
101288.0158,101449.7951,101449.7951,101345.5151,101546.1746
101288.0158,101449.7951,101449.7951,101345.5151,101546.1746
101288.0158,101449.7951,101449.7951,101345.5151,101546.1746
101288.0158,101449.7951,101449.7951,101345.5151,101546.1746
101288.0158,101449.7951,101449.7951,101345.5151,101546.1746
101290.1055,101451.8882,101451.8882,101347.606,101548.2697
101290.1055,101451.8882,101451.8882,101347.606,101548.2697
101290.1055,101451.8882,101451.8882,101347.606,101548.2697
101285.4965,101447.2718,101447.2718,101342.9943,101543.6489
101285.4965,101447.2718,101447.2718,101342.9943,101543.6489
101284.4585,101446.2322,101446.2321,101341.9557,101542.6083
101284.4585,101446.2322,101446.2321,101341.9557,101542.6083
101284.4585,101446.2322,101446.2321,101341.9557,101542.6083
101288.0743,101449.8538,101449.8537,101345.5736,101546.2333
101288.0743,101449.8538,101449.8537,101345.5736,101546.2333
101288.0743,101449.8538,101449.8537,101345.5736,101546.2333
101287.1289,101448.9068,101448.9068,101344.6277,101545.2855
101287.1289,101448.9068,101448.9068,101344.6277,101545.2855
101287.1289,101448.9068,101448.9068,101344.6277,101545.2855
101287.5047,101449.2832,101449.2832,101345.0037,101545.6622
101287.5047,101449.2832,101449.2832,101345.0037,101545.6622
101287.5047,101449.2832,101449.2832,101345.0037,101545.6622
101286.1074,101447.8837,101447.8837,101343.6056,101544.2614
101286.1074,101447.8837,101447.8837,101343.6056,101544.2614
101286.1074,101447.8837,101447.8837,101343.6056,101544.2614
101290.3096,101452.0925,101452.0926,101347.8102,101548.4743
101290.3096,101452.0925,101452.0926,101347.8102,101548.4743
101285.3526,101447.1276,101447.1277,101342.8503,101543.5047
101285.3526,101447.1276,101447.1277,101342.8503,101543.5047
101285.3526,101447.1276,101447.1277,101342.8503,101543.5047
101285.3526,101447.1276,101447.1277,101342.8503,101543.5047
101285.3526,101447.1276,101447.1277,101342.8503,101543.5047
101288.0511,101449.8305,101449.8305,101345.5504,101546.21
101288.0511,101449.8305,101449.8305,101345.5504,101546.21
101288.0511,101449.8305,101449.8305,101345.5504,101546.21
101286.8842,101448.6617,101448.6617,101344.3828,101545.0402
101286.8842,101448.6617,101448.6617,101344.3828,101545.0402
101286.8842,101448.6617,101448.6617,101344.3828,101545.0402
101286.9541,101448.7318,101448.7317,101344.4528,101545.1102
101286.9541,101448.7318,101448.7317,101344.4528,101545.1102
101288.8588,101450.6394,101450.6395,101346.3585,101547.0198
101288.8588,101450.6394,101450.6395,101346.3585,101547.0198
101288.8588,101450.6394,101450.6395,101346.3585,101547.0198
101286.2636,101448.0401,101448.0401,101343.7619,101544.418
101286.2636,101448.0401,101448.0401,101343.7619,101544.418
101286.2636,101448.0401,101448.0401,101343.7619,101544.418
101288.1737,101449.9533,101449.9533,101345.6731,101546.3329
101288.1737,101449.9533,101449.9533,101345.6731,101546.3329
101288.1737,101449.9533,101449.9533,101345.6731,101546.3329
101287.8316,101449.6106,101449.6106,101345.3308,101545.99
101287.8316,101449.6106,101449.6106,101345.3308,101545.99
101287.8316,101449.6106,101449.6106,101345.3308,101545.99
101288.5385,101450.3186,101450.3187,101346.0381,101546.6987
